epoch,train_loss,train_acc,val_loss,val_acc
1,0.22344775475802825,91.58773116824538,0.09231626164472224,95.78005115089515
2,0.10153532773088798,96.63960306720794,0.08564015515671321,96.80306905370844
3,0.06351603278236986,98.0829950383401,0.03254348078546024,98.84910485933504
4,0.05240446817642413,98.06044203879117,0.047916593271092635,98.46547314578005
5,0.05734339030134984,98.82724402345512,0.03933251630119879,98.72122762148338
6,0.03167612570337532,98.84979702300406,0.041279144908096026,98.72122762148338
7,0.03235591111056466,98.78213802435724,0.044918511481933376,98.46547314578005
8,0.026835280134547383,99.05277401894452,0.04287780397213022,98.08184143222506
9,0.019511247494356603,99.30085701398286,0.05077567652358771,98.20971867007673
10,0.019718460913674477,99.23319801533604,0.04112513618336342,98.9769820971867
